id,type,label1,value1,label2,value2,label3,value3,label4,value4,label5,value5,date,observer,url,note,marker,lat,lon
ANSP08B1,density,top(cm)=,14,bottom(cm)=,18,"dry wt, g=",318.2,cm3=,228.3,bulk density=,1.393780114,10/16/2013,Peter Donovan,,,,,
ANSP08C,"CN analysis, 8 composited probe samples",top(cm)=,25,bottom(cm)=,40,%C=,1.241773129,%N=,0.07882791,C/N=,15.75296271,10/16/2013,"Peter Donovan, Craig Stubler at Cal Poly",,slight carbonates,,,
ANSP08C1,density,top(cm)=,28,bottom(cm)=,32,"dry wt, g=",288.2,cm3=,200.3,bulk density=,1.438841737,10/16/2013,Peter Donovan,,,,,
ANSP09,*plot summary,"% carbon, 0-10 cm:",1.28,"% carbon, 10-25 cm:",0.81,"% carbon, 25-40 cm:",0.59,tons C/ha:,46.4,,,10/18/2013,Peter Donovan,http://soilcarboncoalition.org/data/gras/as/ansp9 002.jpg,"Sandy loam, 2% SE slope. Some pedestaling, litter dams. Friable, softer surface layer <10cm. Very hard firm sandy >11cm.",small_yellow,46.92188,-106.90726
ANSP09,113ang,,,,,,,,,,,10/18/2013,Peter Donovan,http://soilcarboncoalition.org/data/gras/as/ansp9 002.jpg,,,,
ANSP09,113vert,% bare=,19,%basal=,31,%lichen=,3,%litter=,46,,,10/18/2013,Peter Donovan,http://soilcarboncoalition.org/data/gras/as/ansp9 001.jpg,"3 grass species, 2 forbs, some grass recruits",,,
ANSP09,infiltration,minutes=,4,mm=,9,mm/min=,2.25,,,,,10/18/2013,Peter Donovan,,,,,
ANSP09,map,,,,,,,,,,,10/18/2013,Peter Donovan,http://soilcarboncoalition.org/data/gras/as/ANSP9map.jpg,,,,
ANSP09,minidisk infiltration,tension (cm)=,1,5 minutes (ml)=,4,,,,,,,10/18/2013,Peter Donovan,,,,,
ANSP09A,"CN analysis, 8 composited probe samples",top(cm)=,0,bottom(cm)=,10,%C=,1.281730294,%N=,0.133901879,C/N=,9.572160615,10/18/2013,"Peter Donovan, Craig Stubler at Cal Poly",,slight carbonates,,,
ANSP09A1,density,top(cm)=,4,bottom(cm)=,8,"dry wt, g=",332.2,cm3=,240.8,bulk density=,1.379568106,10/18/2013,Peter Donovan,,,,,
ANSP09B,"CN analysis, 8 composited probe samples",top(cm)=,10,bottom(cm)=,25,%C=,0.812684774,%N=,0.086120225,C/N=,9.436630824,10/18/2013,"Peter Donovan, Craig Stubler at Cal Poly",,,,,
ANSP09B1,density,top(cm)=,14,bottom(cm)=,18,"dry wt, g=",299.1,cm3=,219,bulk density=,1.365753425,10/18/2013,Peter Donovan,,,,,
ANSP09C,"CN analysis, 8 composited probe samples",top(cm)=,25,bottom(cm)=,40,%C=,0.592544138,%N=,0.060358819,C/N=,9.817026774,10/18/2013,"Peter Donovan, Craig Stubler at Cal Poly",,,,,
ANSP09C1,density,top(cm)=,28,bottom(cm)=,32,"dry wt, g=",255.7,cm3=,187.8,bulk density=,1.361554846,10/18/2013,Peter Donovan,,,,,
ANSP10,*plot summary,"% carbon, 0-10 cm:",1.4,"% carbon, 10-25 cm:",1.85,"% carbon, 25-40 cm:",1.94,tons C/ha:,91.4,,,10/17/2013,Peter Donovan,http://soilcarboncoalition.org/data/gras/as/ansp10 002.jpg,"T110 Johnson pasture. Firm loam, lighter >8 cm. Some pedestaling. ",small_yellow,46.95028,-106.8239
ANSP10,44ang,,,,,,,,,,,10/17/2013,Peter Donovan,http://soilcarboncoalition.org/data/gras/as/ansp10 002.jpg,,,,
ANSP10,44vert,,,,,,,,,,,10/17/2013,Peter Donovan,http://soilcarboncoalition.org/data/gras/as/ansp10 001.jpg,,,,
ANSP10,infiltration,minutes=,4,mm=,4,mm/min=,1,,,,,10/17/2013,Peter Donovan,,,,,
ANSP10,map,,,,,,,,,,,10/17/2013,Peter Donovan,http://soilcarboncoalition.org/data/gras/as/ANSP10map.jpg,,,,
ANSP10,minidisk infiltration,tension (cm)=,1,5 minutes (ml)=,6,,,,,,,10/17/2013,Peter Donovan,,,,,
ANSP10A,"CN analysis, 8 composited probe samples",top(cm)=,0,bottom(cm)=,10,%C=,1.400133371,%N=,0.140453175,C/N=,9.968684398,10/17/2013,"Peter Donovan, Craig Stubler at Cal Poly",,carbonates,,,
ANSP10A1,density,top(cm)=,4,bottom(cm)=,8,"dry wt, g=",269.1,cm3=,216.9,bulk density=,1.2406639,10/17/2013,Peter Donovan,,,,,
ANSP10B,"CN analysis, 8 composited probe samples",top(cm)=,10,bottom(cm)=,25,%C=,1.849047184,%N=,0.093530141,C/N=,19.76953277,10/17/2013,"Peter Donovan, Craig Stubler at Cal Poly",,abundant carbonates,,,
ANSP10B1,density,top(cm)=,14,bottom(cm)=,18,"dry wt, g=",304.8,cm3=,229.3,bulk density=,1.329262974,10/17/2013,Peter Donovan,,,,,
ANSP10C,"CN analysis, 8 composited probe samples",top(cm)=,25,bottom(cm)=,40,%C=,1.935662389,%N=,0.067543924,C/N=,28.6578315,10/17/2013,"Peter Donovan, Craig Stubler at Cal Poly",,abundant carbonates,,,
ANSP10C1,density,top(cm)=,28,bottom(cm)=,32,"dry wt, g=",232.1,cm3=,181.6,bulk density=,1.2780837,10/17/2013,Peter Donovan,,,,,
ANSP11,*plot summary,"% carbon, 0-10 cm:",1.49,"% carbon, 10-25 cm:",0.9,"% carbon, 25-40 cm:",0.67,tons C/ha:,51.4,,,10/17/2013,Peter Donovan,http://soilcarboncoalition.org/data/gras/as/ansp11 002.jpg,"T111 Horse Creek. Very firm loam, 3% E slope, increasing sand 25-40cm.",small_yellow,46.96794,-106.87488
ANSP11,88ang,,,,,,,,,,,10/17/2013,Peter Donovan,http://soilcarboncoalition.org/data/gras/as/ansp11 002.jpg,,,,
ANSP11,88vert,,,,,,,,,,,10/17/2013,Peter Donovan,http://soilcarboncoalition.org/data/gras/as/ansp11 001.jpg,,,,
ANSP11,infiltration,minutes=,4,mm=,3,mm/min=,0.75,,,,,10/17/2013,Peter Donovan,,,,,
ANSP11,map,,,,,,,,,,,10/17/2013,Peter Donovan,http://soilcarboncoalition.org/data/gras/as/ANSP11map.jpg,,,,
ANSP11,minidisk infiltration,tension (cm)=,1,5 minutes (ml)=,2,,,,,,,10/17/2013,Peter Donovan,,,,,
