group,id,type,label1,value1,label2,value2,label3,value3,label4,value4,label5,value5,date,observer,url,note,marker,lat,lon
ANSP05,ANSP05B,"CN analysis, 8 composited probe samples",top(cm)=,10,bottom(cm)=,20,%C=,2.211402416,%N=,0.09581469,C/N=,23.07999344,15-Oct-13,"Peter Donovan, Craig Stubler at Cal Poly",,,,,
ANSP05,ANSP05B1,density,top(cm)=,14,bottom(cm)=,18,"dry wt, g=",295.1,cm3=,227.3,bulk density=,1.298284206,15-Oct-13,Peter Donovan,,,,,
ANSP05,ANSP05C,"CN analysis, 8 composited probe samples",top(cm)=,20,bottom(cm)=,35,%C=,1.837923288,%N=,0.068554528,C/N=,26.80965562,15-Oct-13,"Peter Donovan, Craig Stubler at Cal Poly",,Abundant carbonates.,,,
ANSP05,ANSP05C1,density,top(cm)=,28,bottom(cm)=,32,"dry wt, g=",295.2,cm3=,221,bulk density=,1.335746606,15-Oct-13,Peter Donovan,,,,,
ANSP05,geometry,,,,,,,,,,,,,,,,,46.88215,-106.71323
ANSP06,ANSP06,*plot summary,"% carbon, 0-10 cm:",2.34,"% carbon, 10-25 cm:",1.48,"% carbon, 25-40 cm:",1.72,tons C/ha:,94.5,,,16-Oct-13,Peter Donovan,http://soilcarboncoalition.org/data/gras/as/ansp6 002.jpg,"T106 Pumphouse pasture, 88'. Firm silty loam, rootbound 0-7cm. ",small_yellow,,
ANSP06,ANSP06,88ang,,,,,,,,,,,16-Oct-13,Peter Donovan,http://soilcarboncoalition.org/data/gras/as/ansp6 002.jpg,step back view,,,
ANSP06,ANSP06,88vert,,,,,,,,,,,16-Oct-13,Peter Donovan,http://soilcarboncoalition.org/data/gras/as/ansp6 001.jpg,hoop at center of carbon plot,,,
ANSP06,ANSP06,infiltration,minutes=,4,mm=,6,mm/min=,1.5,,,,,16-Oct-13,Peter Donovan,,,,,
ANSP06,ANSP06,map,,,,,,,,,,,16-Oct-13,Peter Donovan,http://soilcarboncoalition.org/data/gras/as/ANSP6map.jpg,,,,
ANSP06,ANSP06,minidisk infiltration,tension (cm)=,1,5 minutes (ml)=,3,,,,,,,16-Oct-13,Peter Donovan,,At 2 cm depth.,,,
ANSP06,ANSP06A,"CN analysis, 8 composited probe samples",top(cm)=,0,bottom(cm)=,10,%C=,2.337056637,%N=,0.213758543,C/N=,10.93316133,16-Oct-13,"Peter Donovan, Craig Stubler at Cal Poly",,,,,
ANSP06,ANSP06A1,density,top(cm)=,4,bottom(cm)=,8,"dry wt, g=",304.1,cm3=,234.5,bulk density=,1.296801706,16-Oct-13,Peter Donovan,,,,,
ANSP06,ANSP06B,"CN analysis, 8 composited probe samples",top(cm)=,10,bottom(cm)=,25,%C=,1.480459929,%N=,0.144787237,C/N=,10.22507203,16-Oct-13,"Peter Donovan, Craig Stubler at Cal Poly",,,,,
ANSP06,ANSP06B1,density,top(cm)=,14,bottom(cm)=,18,"dry wt, g=",353.1,cm3=,268.8,bulk density=,1.313616071,16-Oct-13,Peter Donovan,,,,,
ANSP06,ANSP06C,"CN analysis, 8 composited probe samples",top(cm)=,25,bottom(cm)=,40,%C=,1.721945405,%N=,0.088456348,C/N=,19.46661209,16-Oct-13,"Peter Donovan, Craig Stubler at Cal Poly",,,,,
ANSP06,ANSP06C1,density,top(cm)=,28,bottom(cm)=,32,"dry wt, g=",267.6,cm3=,197.2,bulk density=,1.356997972,16-Oct-13,Peter Donovan,,,,,
ANSP06,geometry,,,,,,,,,,,,,,,,,46.91373,-106.77026
ANSP07,ANSP07,*plot summary,"% carbon, 0-10 cm:",1.003,"% carbon, 10-25 cm:",0.874,"% carbon, 25-40 cm:",0.78,tons C/ha:,47.8,,,15-Oct-13,Peter Donovan,http://soilcarboncoalition.org/data/gras/as/ansp7 002.jpg,"T107 North High Hill. Sandy soil, varied cover including prairie sandreed, sage, prickly pear. Roots. Some samples very hard 10-20. Composited probe samples from grid points 16, 19, 22, 25.",small_yellow,,
ANSP07,ANSP07,44ang,,,,,,,,,,,15-Oct-13,Peter Donovan,http://soilcarboncoalition.org/data/gras/as/ansp7 002.jpg
ANSP07,ANSP07,44vert,,,,,,,,,,,15-Oct-13,Peter Donovan,http://soilcarboncoalition.org/data/gras/as/ansp7 001.jpg
ANSP07,ANSP07,infiltration,minutes=,3,mm=,13,mm/min=,4.333333333,,,,,15-Oct-13,Peter Donovan,
ANSP07,ANSP07,map,,,,,,,,,,,15-Oct-13,Peter Donovan,http://soilcarboncoalition.org/data/gras/as/ANSP7map.jpg
ANSP07,ANSP07,minidisk infiltration,tension (cm)=,1,5 minutes (ml)=,10,,,,,,,15-Oct-13,Peter Donovan,
ANSP07,ANSP07A,average CN,top(cm)=,0,bottom(cm)=,10,%C=,1.003,%N=,0.1037,C/N=,9.672131148,15-Oct-13,calculated,
ANSP07,ANSP07A,C variance,top(cm)=,0,bottom(cm)=,10,stdev=,,average=,,CV=,0.12,15-Oct-13,calculated,
ANSP07,ANSP07A,"CN analysis, 4 composited probe samples",top(cm)=,0,bottom(cm)=,10,%C=,0.939714968,%N=,0.105422378,C/N=,8.913809285,15-Oct-13,"Peter Donovan, Craig Stubler at Cal Poly",
ANSP07,ANSP07A1,"CN analysis, single probe sample",top(cm)=,0,bottom(cm)=,10,%C=,0.983151793,%N=,0.081413031,C/N=,12.0760987,15-Oct-13,"Peter Donovan, Craig Stubler at Cal Poly",
ANSP07,ANSP07A1,density,top(cm)=,4,bottom(cm)=,8,"dry wt, g=",342.1,cm3=,252.2,bulk density=,1.356463125,15-Oct-13,Peter Donovan,
ANSP07,ANSP07A10,"CN analysis, single probe sample",top(cm)=,0,bottom(cm)=,10,%C=,1.202583909,%N=,0.122540519,C/N=,9.813765458,15-Oct-13,"Peter Donovan, Craig Stubler at Cal Poly",
ANSP07,ANSP07A10dup,"CN analysis, single probe sample",top(cm)=,0,bottom(cm)=,10,%C=,1.171607494,%N=,0.116724283,C/N=,10.03739298,15-Oct-13,"Peter Donovan, Craig Stubler at Cal Poly",
ANSP07,ANSP07A1dup,"CN analysis, single probe sample",top(cm)=,0,bottom(cm)=,10,%C=,0.966375232,%N=,0.085753441,C/N=,11.26922981,15-Oct-13,"Peter Donovan, Craig Stubler at Cal Poly",
ANSP07,ANSP07A4,"CN analysis, single probe sample",top(cm)=,0,bottom(cm)=,10,%C=,1.138520122,%N=,0.11823827,C/N=,9.629032282,15-Oct-13,"Peter Donovan, Craig Stubler at Cal Poly",
ANSP07,ANSP07A7,"CN analysis, single probe sample",top(cm)=,0,bottom(cm)=,10,%C=,0.931990564,%N=,0.087848537,C/N=,10.60906191,15-Oct-13,"Peter Donovan, Craig Stubler at Cal Poly",
ANSP07,ANSP07Adup,"CN analysis, 4 composited probe samples",top(cm)=,0,bottom(cm)=,10,%C=,1.015341282,%N=,0.095909916,C/N=,10.58640572,15-Oct-13,"Peter Donovan, Craig Stubler at Cal Poly",
ANSP07,ANSP07B,average CN,top(cm)=,10,bottom(cm)=,25,%C=,0.874,%N=,0.0728,C/N=,12.00549451,15-Oct-13,calculated,,
ANSP07,ANSP07B,C variance,top(cm)=,10,bottom(cm)=,25,stdev=,,average=,,CV=,0.1,15-Oct-13,calculated,,
ANSP07,ANSP07B,"CN analysis, 4 composited probe samples",top(cm)=,10,bottom(cm)=,25,%C=,1.063342214,%N=,0.078963652,C/N=,13.4662238,15-Oct-13,"Peter Donovan, Craig Stubler at Cal Poly",,
ANSP07,ANSP07B1,"CN analysis, single probe sample",top(cm)=,10,bottom(cm)=,25,%C=,0.78808862,%N=,0.075284936,C/N=,10.46807856,15-Oct-13,"Peter Donovan, Craig Stubler at Cal Poly",,
ANSP07,ANSP07B1,density,top(cm)=,14,bottom(cm)=,18,"dry wt, g=",369.6,cm3=,260.5,bulk density=,1.418809981,15-Oct-13,Peter Donovan,,
ANSP07,ANSP07B10,"CN analysis, single probe sample",top(cm)=,10,bottom(cm)=,25,%C=,0.642478704,%N=,0.063220941,C/N=,10.16243509,15-Oct-13,"Peter Donovan, Craig Stubler at Cal Poly",,
